Name,Platform
Kirby Super Star Ultra,DS
Hitman 2: Silent Assassin,PS2
Street Fighter IV,X360
Wave Race 64,N64
SOCOM II: U.S. Navy SEALs,PS2
WWE SmackDown! vs. RAW 2006,PS2
inFAMOUS,PS3
Pac-Man Collection,GBA
Mass Effect,X360
WarioWare: Smooth Moves,Wii
Cooking Mama: Cook Off,Wii
Super Mario World 2: Yoshi's Island,GBA
FIFA 14,PS4
Titanfall,XOne
Sonic Mega Collection Plus,PS2
Sega Superstars Tennis,X360
World Soccer Winning Eleven 7 International,PS2
Need for Speed: Most Wanted,PS3
Hot Shots Golf 3,PS2
Call of Duty: Finest Hour,PS2
Zumba Fitness 2,Wii
Syphon Filter,PS
Imagine: Babyz,DS
Colin McRae Rally,PS
Call of Duty: Ghosts,XOne
Madden NFL 13,X360
The Elder Scrolls III: Morrowind,XB
Mortal Kombat,PS3
F-Zero,SNES
Yoshi's Story,N64
Command & Conquer: Red Alert,PC
Skylanders: Spyro's Adventure,Wii
FIFA 16,PS3
Assassin's Creed: Brotherhood,PS3
BioShock,X360
Madden NFL 10,X360
Medal of Honor,PS3
WWE SmackDown! vs. Raw,PS2
Metroid Prime,GC
Finding Nemo,GBA
Myst,PC
Need for Speed: Hot Pursuit,PS3
Imagine: Fashion Designer,DS
WWE SmackDown! Here Comes the Pain,PS2
Star Wars: The Force Unleashed,X360
Yoshi's Island DS,DS
Hot Shots Golf,PS
Killzone 3,PS3
A Bug's Life,PS
WWF SmackDown! Just Bring It,PS2
Dragon Quest V: Tenkuu no Hanayome,SNES
Mortal Kombat Trilogy,PS
Battlefield 3,PC
NBA Street,PS2
Professor Layton and the Last Specter,DS
Monster Hunter Tri,3DS
Jak II,PS2
inFAMOUS: Second Son,PS4
Ratchet & Clank: Going Commando,PS2
Tekken 6,PS3
The Sims,PS2
Sonic and the Secret Rings,Wii
Saints Row: The Third,X360
Missile Command,2600
Mario Paint,SNES
Assassin's Creed IV: Black Flag,PS4
Pokémon Stadium 2,N64
Metroid,NES
L.A. Noire,X360
Call of Duty 3,X360
The Legend of Zelda: A Link to the Past,GBA
Onimusha: Warlords,PS2
Mortal Kombat X,PS4
Mario Party,N64
Madden NFL 12,X360
LEGO Star Wars II: The Original Trilogy,PS2
Madden NFL 11,X360
Mario vs. Donkey Kong: Mini-Land Mayhem!,DS
Skate 3,X360
Burnout 3: Takedown,PS2
Yokai Watch 2 Shinuchi,3DS
Need for Speed: Shift,PS3
Final Fantasy XIII-2,PS3
Mortal Kombat,GEN
Call Of Duty 2: Big Red One,PS2
Guitar Hero: World Tour,X360
Medal of Honor,PS
Fable,XB
Hannah Montana,DS
Tom Clancy's Splinter Cell,PS2
Skylanders Giants,Wii
Medal of Honor Heroes,PSP
Super Mario Bros.: The Lost Levels,NES
Star Wars: Shadows of the Empire,N64
LEGO Star Wars: The Complete Saga,X360
Midnight Club: Street Racing,PS2
Pac-Man: Adventures in Time,PSP
Halo Wars,X360
God of War Collection,PS3
ESPN NFL 2K5,PS2
Mario Strikers Charged,Wii
Medal of Honor,X360
FIFA Soccer 10,X360
NBA 2K12,X360
Style Savvy,DS
Harry Potter and the Chamber of Secrets,PS2
Super Mario All-Stars: Limited Edition,Wii
Streets of Rage,GEN
FIFA Soccer 09,PS3
Ratchet & Clank Future: Tools of Destruction,PS3
NBA Live 2005,PS2
LittleBigPlanet,PSP
Killzone: Shadow Fall,PS4
Ghostbusters: The Video Game (DS Version),X360
Monster Hunter Freedom 2,PSP
WWE SmackDown vs. RAW 2007,PS2
Ratchet & Clank: Up Your Arsenal,PS2
Art Academy,DS
Dragon Age: Origins,X360
Madden NFL 08,PS2
Sonic Adventure 2 Battle,GC
Dragon Warrior II,NES
Madden NFL 13,PS3
Pokémon Colosseum,GC
Deca Sports,Wii
Madden NFL 09,X360
Space Invaders,2600
Crazy Taxi,PS2
Perfect Dark,N64
Game Party,Wii
Dragon Warrior,NES
Tomb Raider (2013),PS3
Marvel: Ultimate Alliance,X360
PES 2009: Pro Evolution Soccer,PS2
Mario Party 2,N64
Saints Row: The Third,PS3
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB
LEGO Harry Potter: Years 1-4,Wii
Mortal Kombat: Deadly Alliance,PS2
Resistance 2,PS3
Pure,X360
Tomb Raider: The Last Revelation,PS
NBA 2K13,PS3
Rock Band,X360
NBA 2K14,X360
Mario Party 4,GC
uDraw Studio,Wii
Midnight Club: Los Angeles,PS3
Final Fantasy V,SNES
Final Fantasy Tactics,PS
Twisted Metal 2,PS
Halo: Combat Evolved Anniversary,X360
Need for Speed Carbon: Own the City,PSP
The Sims: Bustin' Out,PS2
Riven: The Sequel to Myst,PC
Tom Clancy's Rainbow Six: Vegas 2,X360
Sonic Adventure,DC
Ice Hockey,NES
pro evolution soccer 2011,PS3
Dragon Ball Z: Budokai 2,PS2
ATV Offroad Fury,PS2
Dino Crisis,PS
Minecraft,XOne
Need for Speed: ProStreet,PS2
Madden NFL 16,XOne
Tetris Plus,PS
Pro Wrestling,NES
Theme Hospital,PC
Frogger's Adventures: Temple of the Frog,GBA
Need for Speed (2015),PS4
Zumba Fitness,X360
LEGO Indiana Jones: The Original Adventures,Wii
Monopoly,PC
Batman: Arkham Origins,PS3
Dead Island,X360
Guitar Hero,PS2
LEGO Star Wars: The Complete Saga,PS3
Kinect: Disneyland Adventures,X360
WCW/nWo Revenge,N64
Bloodborne,PS4
NBA 2K15,PS4
Madden NFL 11,PS3
Yu-Gi-Oh! The Duelists of the Roses,PS2
Madden NFL 08,X360
Half-Life 2,PC
The Incredibles,PS2
Tony Hawk's Underground 2,PS2
Madden NFL 10,PS3
Kinect Sports: Season Two,X360
Kirby's Dream Land 2,GB
LEGO Harry Potter: Years 1-4,DS
Donkey Kong Land II,GB
Dragon Warrior Monsters,GB
Midnight Club: Los Angeles,X360
Skylanders SWAP Force,Wii
WWE SmackDown vs Raw 2008,PS2
My Fitness Coach,Wii
Resident Evil - Code: Veronica X,PS2
The Sims 3,X360
The Legend of Zelda: Majora's Mask 3D,3DS
NBA 2K16,XOne
Just Dance Kids,Wii
Mario Tennis,N64
Grand Theft Auto,PS
James Bond 007: Everything or Nothing,PS2
WarioWare Touched!,DS
Need For Speed: High Stakes,PS
Chrono Trigger,SNES
Cool Boarders 3,PS
LEGO Marvel Super Heroes,X360
Guild Wars 2,PC
Pokemon Ranger: Shadows of Almia,DS
Dead Island,PS3
Tomb Raider II,PC
God of War: Ascension,PS3
Need for Speed Underground 2,XB
Pro Evolution Soccer 2010,PS3
Just Dance 2015,Wii
Yokai Watch Busters,3DS
Mario Bros.,NES
FIFA Soccer 09,PS2
Star Wars: The Force Unleashed,PS3
Borderlands 2,PS3
TOCA Touring Car Championship,PS
Paper Mario: Sticker Star,3DS
Sonic's Ultimate Genesis Collection,PS3
Super Monkey Ball: Banana Blitz,Wii
Kirby: Nightmare in Dream Land,GBA
Wario Land 4,GBA
Guitar Hero III: Legends of Rock,PS3
Call of Duty 3,Wii
Resident Evil 4,Wii
Minecraft,PSV
Onimusha 2: Samurai's Destiny,PS2
Cool Boarders 2,PS
Paper Mario: The Thousand-Year Door,GC
Madden NFL 12,PS3
Monster Hunter Tri,Wii
Dissidia: Final Fantasy,PSP
Sonic Advance,GBA
Spyro: Season of Ice,GBA
Teenage Mutant Ninja Turtles II: The Arcade Game,NES
LEGO Indiana Jones: The Original Adventures,DS
Dance Dance Revolution X2,PS2
New Super Luigi U,WiiU
Prince of Persia: The Sands of Time,PS2
Scribblenauts,DS
The Legend of Zelda: Link's Awakening DX,GB
Need for Speed: Hot Pursuit,X360
BioShock 2,X360
Assassin's Creed IV: Black Flag,XOne
Devil May Cry 3: Dante's Awakening Special Edition,PS2
Rock Band 2,X360
Frogger,2600
Guitar Hero II,X360
Wario Land 3,GB
Pro Yakyuu Family Stadium,NES
Sonic Unleashed,Wii
High School Musical: Makin' the Cut!,DS
Pro Evolution Soccer 2012,PS3
Saints Row,X360
Star Wars: Knights of the Old Republic,XB
Kirby's Pinball Land,GB
Donkey Kong Country,GB
Hitman: Absolution,PS3
Yu-Gi-Oh: Duel Monsters 4,GB
ATV Offroad Fury 2,PS2
Forza Motorsport 5,XOne
Madden NFL 25,X360
Pokemon Ranger,DS
Mario & Luigi: Superstar Saga,GBA
Final Fantasy XIII,X360
Star Wars: Rogue Squadron,N64
Tennis,NES
The Sims: House Party,PC
Your Shape featuring Jenny McCarthy,Wii
Syphon Filter 2,PS
Tom Clancy's Rainbow Six: Siege,PS4
Volleyball,NES
FIFA 15,XOne
Call of Duty: Roads to Victory,PSP
Super Mario RPG: Legend of the Seven Stars,SNES
Mahjong,NES
R.C. Pro-Am,NES
SimCity 2000,PC
Demon Attack,2600
Dance Dance Revolution Extreme,PS2
Tetris DS,DS
Final Fantasy Tactics Advance,GBA
Far Cry: Primal,PS4
Toy Story 3: The Video Game,DS
Final Fantasy III,DS
Kirby's Epic Yarn,Wii
Project Gotham Racing,XB
Golf,GB
NBA 2K12,PS3
Borderlands,PS3
Tony Hawk's Pro Skater,N64
PES 2009: Pro Evolution Soccer,PS3
Need for Speed: Hot Pursuit 2,PS2
Mario Sports Mix,Wii
Rock Band,Wii
Dynasty Warriors 4,PS2
Mortal Kombat,X360
Parasite Eve,PS
Scooby-Doo! Night of 100 Frights,PS2
Project Gotham Racing (JP weekly sales),XB
Need for Speed: Most Wanted 5-1-0,PSP
Portal 2,X360
Devil May Cry 3: Dante's Awakening,PS2
Derby Stallion,PS
Dead Rising,X360
Finding Nemo,PS2
NBA 2K11,X360
Wipeout: The Game,Wii
The Sims 2: Pets,DS
Battlefield: Hardline,PS4
Metal Gear Solid: Peace Walker,PSP
World of Warcraft: Cataclysm,PC
Tetris Worlds,PS2
Need For Speed: Undercover,PS3
Dance Dance Revolution: Hottest Party,Wii
Mario Party 5,GC
Ghostbusters: The Video Game (DS Version),PS3
Sim Theme Park,PC
Warcraft: Orcs & Humans,PC
Skate 3,PS3
Spec Ops: Airborne Commando,PS
Kingdom Hearts: Birth by Sleep,PSP
UFC 2009 Undisputed,X360
Dark Souls,PS3
Yu-Gi-Oh! The Eternal Duelist Soul,GBA
Need for Speed: ProStreet,X360
The Sims 3,PS3
Tom Clancy's Splinter Cell: Conviction,X360
Pokemon Mystery Dungeon: Red/Blue Rescue Team,GBA
The Incredibles,GBA
R4: Ridge Racer Type 4,PS
SoulCalibur II,PS2
Mario & Luigi: Dream Team,3DS
Need for Speed: ProStreet,PS3
Carnival Games,DS
NBA 2K14,PS3
Pokémon Mystery Dungeon: Blue Rescue Team,DS
Sonic Mega Collection,GC
Diablo III,PS3
NBA Jam,GEN
PGR4 - Project Gotham Racing 4,X360
Kingdom Hearts 358/2 Days,DS
Dance Central 2,X360
Rayman Raving Rabbids: TV Party,Wii
SOCOM: U.S. Navy SEALs: Combined Assault,PS2
Peter Jackson's King Kong: The Official Game of the Movie,PS2
Donkey Kong Country,GBA
Need for Speed: The Run,PS3
Madden NFL 15,PS4
1080°: TenEighty Snowboarding,N64
Just Dance 3,X360
NBA Live 2004,PS2
Dead Space,PS3
Call of Duty 2,X360
Madden NFL 15,X360
Forza Horizon,X360
TouchMaster,DS
Tom Clancy's The Division,XOne
LEGO Marvel Super Heroes,PS3
Fire Emblem: Awakening,3DS
DriveClub,PS4
Super Street Fighter II,SNES
Mortal Kombat vs. DC Universe,PS3
Tenchu: Stealth Assassins,PS
Tennis,GB
Harry Potter and the Chamber of Secrets,GBA
Harry Potter and the Chamber of Secrets,PS
SimCity,SNES
Battlefield 4,XOne
Resident Evil 6,X360
Dragon Age: Inquisition,PS4
Sonic Classic Collection,DS
Spyro: Enter the Dragonfly,PS2
Call of Duty: World at War,Wii
Devil May Cry 2,PS2
Burnout Paradise,PS3
E.T.: The Extra Terrestrial,2600
BioShock Infinite,X360
Hot Shots Golf: Open Tee,PSP
Rad Racer,NES
Soccer,NES
Kirby Squeak Squad,DS
Tom Clancy's Rainbow Six: Vegas,X360
Destiny,X360
Crash Nitro Kart,PS2
Grand Theft Auto: San Andreas,XB
Star Wars: Dark Forces,PC
NBA Street Vol. 2,PS2
Def Jam Vendetta,PS2
FIFA Soccer 09,X360
Who wants to be a millionaire,PC
Scooby Doo and the Cyber Chase,PS
Alleyway,GB
Dragon Ball Z: Budokai 3,PS2
Jet Moto 2,PS
Tom Clancy's Ghost Recon,PS2
X-Men Legends,PS2
Batman: Arkham Origins,X360
Guitar Hero: World Tour,PS3
Mortal Kombat II,SNES
Virtua Fighter 2,SAT
Tetris DX,GB
Mortal Kombat vs. DC Universe,X360
Watch Dogs,PS3
Mario Super Sluggers,Wii
Tomb Raider (2013),X360
The Legend of Zelda: Oracle of Ages,GB
Need for Speed: Shift,X360
Monopoly,Wii
